model,class_label,k,candidate_count,image_count,patient_count,inertia_per_candidate,mean_distance_to_center,p90_distance_to_center,median_cluster_candidates,min_cluster_candidates,median_cluster_patients,min_cluster_patients,clusters_under_5_patients,clusters_under_10_patients,mean_max_patient_share,worst_max_patient_share,top1_importance_S_h,top5_mean_probability_drop,ssc_step0_accuracy,ssc_final_accuracy,sdc_step0_accuracy,sdc_final_accuracy,previous_k,adjusted_rand_vs_previous_k,normalized_mutual_info_vs_previous_k
efficientnet_b0,0,10,37007,251,157,70.14342556813575,8.279637068180682,9.946186256408692,3702.0,2882,154.0,138,0,0,0.03924212309972626,0.102706453851492,0.6725676704747269,0.00927238074030258,1.0,0.8764940239043825,0.8804780876494024,0.8087649402390438,,,
efficientnet_b0,0,15,37007,251,157,68.63696057502635,8.189433285716314,9.849703216552735,2437.0,1663,148.0,112,0,0,0.04659727905240263,0.1417950079660117,0.7058585224101743,0.0123421362619162,1.0,0.848605577689243,0.8804780876494024,0.8087649402390438,10.0,0.4810633606339218,0.5953073791607979
efficientnet_b0,0,20,37007,251,157,67.61949766260437,8.126813603854558,9.79492015838623,1820.0,1290,147.5,89,0,0,0.050441366661772416,0.1758021390374331,0.702925624288767,0.010074049589026041,1.0,0.896414342629482,0.8804780876494024,0.8247011952191236,15.0,0.5618278286913703,0.6691243818611236
efficientnet_b0,0,25,37007,251,157,66.81732510065663,8.077705650987758,9.73348789215088,1484.0,1087,142.0,84,0,0,0.05412843534159905,0.2290786136939983,0.6754493435540522,0.00926982338532328,1.0,0.9322709163346612,0.8804780876494024,0.8047808764940239,20.0,0.48903807238563285,0.6360519279011002
efficientnet_b0,0,30,37007,251,157,66.15336963277218,8.038021295147379,9.681713104248047,1219.5,653,133.5,49,0,0,0.07235694324416761,0.4839203675344563,0.6949303894492972,0.02050076029533618,1.0,0.9482071713147412,0.8804780876494024,0.8087649402390438,25.0,0.474471083960296,0.6283080417799489
efficientnet_b0,0,35,37007,251,157,65.60167670981166,8.003192282768,9.651327133178711,1025.0,501,130.0,39,0,0,0.0736968688793432,0.6167664670658682,0.6630526334344153,0.011540953629166899,1.0,0.9322709163346612,0.8804780876494024,0.8645418326693227,30.0,0.5728625584737889,0.7038240593090829
efficientnet_b0,0,40,37007,251,157,65.12742859459021,7.973885546089568,9.61945400238037,908.0,482,121.0,34,0,0,0.07080733778917833,0.6265560165975104,0.7026401869284798,0.0164147983968444,1.0,0.9362549800796812,0.8804780876494024,0.8167330677290837,35.0,0.41617031639934654,0.6172063318944968
efficientnet_b0,0,45,37007,251,157,64.65302510335883,7.944760833372959,9.590245056152344,836.0,272,116.0,25,0,0,0.08717096643282624,0.6785714285714286,0.6021627911266341,0.01187153415286376,1.0,0.9243027888446216,0.8804780876494024,0.8286852589641435,40.0,0.4320221816913522,0.6360733078835202
efficientnet_b0,0,50,37007,251,157,64.32296592536547,7.924516955155672,9.558233261108398,738.0,262,112.0,14,0,0,0.0974914714910314,0.8816793893129771,0.6124597601221496,0.01311256291866666,1.0,0.9322709163346612,0.8804780876494024,0.8645418326693227,45.0,0.46300509864839595,0.6544774743391336
efficientnet_b0,1,10,37745,251,157,81.35879586700226,8.91588742054919,10.730345535278323,3690.5,2839,150.5,140,0,0,0.03168229592657117,0.040097205346294,0.7287611438785179,0.10613689991792105,0.0,0.6175298804780877,0.6972111553784861,0.4860557768924303,,,
efficientnet_b0,1,15,37745,251,157,79.76149821168367,8.82819049695988,10.621597862243652,2395.0,1798,145.0,115,0,0,0.041449436908578115,0.12,0.7297750952471775,0.11783200441222927,0.0,0.7450199203187251,0.6972111553784861,0.4701195219123506,10.0,0.4458079850065169,0.5679380517195471
