cluster_id,candidate_count,patient_count,mean_distance,mean_area_ratio
0,802,123,8.624896226083846,0.05570313222985014
1,804,144,7.98276351043834,0.07867731502400105
2,729,120,8.36245404611072,0.08994246641140737
3,652,140,8.400761075546406,0.08749678091037487
4,688,98,8.16501540846603,0.05876379789308056
5,948,130,8.626587724383873,0.09199779043720738
6,797,138,7.698967157672609,0.04817248048866106
7,545,87,8.463787264342702,0.09175722314677102
8,509,140,8.55044326894644,0.05404697560608267
9,790,143,7.641706088826626,0.08346733865858628
10,592,104,8.91548871349644,0.08462490906586513
11,761,147,7.697249245862923,0.0562872867859929
12,542,139,8.17797209855815,0.07838158413932769
13,919,124,7.395027483897578,0.05115466278707108
14,753,123,8.328154876095999,0.091701649416332
15,970,144,7.752052248138742,0.09056438170757485
16,486,36,9.38710112140012,0.08617403477798269
17,644,146,8.693304537986377,0.0901359297473978
18,919,151,8.554949593881268,0.05199407052423019
19,376,46,9.342206006354473,0.08076873738714985
20,904,150,8.072556234039036,0.05974568307927221
21,556,83,9.070555722970756,0.0918820127308797
22,741,110,8.922838442077843,0.09355937324554808
23,623,135,8.463971359197823,0.09720612796887534
24,681,115,7.247231336417177,0.05356041660392859
25,371,134,8.980919169608473,0.06500622525690694
26,668,141,8.142380451727771,0.05355094292920502
27,741,123,8.81332809947602,0.09360414059699461
28,303,157,8.755404288225835,0.7727653704854127
29,921,103,8.943502327777146,0.09389794895366782
30,431,100,8.380951543971724,0.06701920369938184
31,330,52,9.473355601050637,0.07087764162005795
32,500,142,9.066391354560851,0.06941510772705074
33,905,135,7.959486249006914,0.061265778936733815
34,450,61,8.588197854359946,0.0924203491210937
