cluster_id,image_count,patient_count,mean_S_R,mean_S_E,mean_probability_drop,weighted_rank_sum,image_coverage,S_h,importance_rank
28,248,157,0.20137517180128564,0.042787451703368846,0.12380927590833556,263.58948725648224,0.9880478087649402,1.0501573197469412,1
26,223,141,0.054604246577607145,0.04344843877604724,0.03899890561943097,165.2061957474798,0.8884462151394422,0.6581920149301984,2
2,185,120,0.049277375311951775,0.04460151720087271,0.023577053420170135,152.30203688889742,0.7370517928286853,0.6067810234617427,3
18,233,151,0.03544865859522037,0.042006739065482766,0.018955237851698,151.23959975503385,0.9282868525896414,0.602548206195354,4
12,216,139,0.0267666562754635,0.046348953800689846,-0.01835081715183117,145.36997748166323,0.8605577689243028,0.5791632568990567,5
32,217,142,0.024704119336050934,0.047655618599345605,0.0017767824095240386,145.13068486005068,0.8645418326693227,0.5782098998408394,6
8,210,140,0.048020453875194234,0.042893618957272596,0.025144690310671215,140.43815905228257,0.8366533864541833,0.5595145778975401,7
25,197,134,0.0348352369318523,0.04684596681768822,0.01328475153437688,133.41096817702055,0.7848605577689243,0.531517801502074,8
33,197,135,0.03036249115958817,0.042083825206923,-0.010236353060315707,131.01189550943673,0.7848605577689243,0.521959743065485,9
5,186,130,0.03804397404207022,0.04289887337795188,-0.010922852422921889,130.66494799032807,0.7410358565737052,0.5205774820331796,10
20,228,150,0.028904218393124705,0.043099985784736644,-0.025185596034453625,127.57462151348591,0.9083665338645418,0.5082654243565176,11
15,216,144,0.031057560777197877,0.039895871826620015,-0.0027779979217383596,126.7108793631196,0.8605577689243028,0.5048242205701976,12
3,206,140,0.02819966077615249,0.04214851510286042,-0.028432863151306484,122.42760740406811,0.8207171314741036,0.4877593920480801,13
27,178,123,0.03470713398131552,0.04303582774977503,-0.017674660414792178,120.4219779856503,0.7091633466135459,0.47976883659621633,14
11,235,147,0.021574131323599276,0.04030312310032388,-0.03971428191091152,118.20854258723557,0.9362549800796812,0.4709503688734485,15
9,211,143,0.03828718362710443,0.03901351391562918,-0.011725763364372801,114.95472951605916,0.8406374501992032,0.45798697018350265,16
1,225,144,0.032441116757432206,0.03876986569828457,-0.014121011089947488,113.25765727832913,0.896414342629482,0.4512257262084826,17
23,215,135,0.029391153689560502,0.035487070714318475,-0.03543933276520219,108.64443954825401,0.8565737051792829,0.4328463727022072,18
17,217,146,0.02702861750409359,0.03560538450899761,-0.03925612761128333,107.22974983975291,0.8645418326693227,0.42721015872411516,19
0,181,123,0.028130686143734776,0.03862096732276497,-0.01726944837204659,101.3529011271894,0.7211155378486056,0.4037964188334239,20
13,200,124,0.035107356675944175,0.031928770425729454,-0.008580357059836388,101.27004610747099,0.796812749003984,0.40346631915327086,21
10,158,104,0.03607263058811556,0.0428641416910517,-0.02663300288959017,99.88093284703791,0.6294820717131474,0.397932003374653,22
22,172,110,0.032759391411165656,0.036292199982156936,-0.048840602989806685,89.76759008690715,0.6852589641434262,0.3576398011430564,23
14,171,123,0.030699359585275077,0.03551629832156046,-0.02011779103188487,89.10837568342686,0.6812749003984063,0.3550134489379556,24
6,213,138,0.019045545168094195,0.03359646793944595,-0.03898683949395525,86.71311471052468,0.848605577689243,0.3454705765359549,25
21,119,83,0.029773442661379927,0.04453097166446578,-0.004868339089786305,86.65724927186966,0.47410358565737054,0.3452480050672098,26
4,149,98,0.03529684541078172,0.036702600267134455,0.006057751908798346,85.63353884778917,0.5936254980079682,0.3411694774812317,27
29,144,103,0.03981574912419698,0.03892631672917762,-0.018573032433374062,81.92332597263157,0.5737051792828686,0.32638775287901023,28
30,133,100,0.02063636970088101,0.04427157051133034,0.005916039980212717,78.87317008338869,0.5298804780876494,0.31423573738401867,29
7,106,87,0.03439489487813399,0.04453429431250354,-0.004315852416011522,74.38420180231333,0.42231075697211157,0.29635140160284196,30
24,175,115,0.01968679663658674,0.026027771500604494,-0.02248468654496329,63.51189931482077,0.6972111553784861,0.2530354554375329,31
34,80,61,0.0470291894627735,0.04511409339029342,0.022631355840712786,61.14422754198313,0.3187250996015936,0.24360250016726345,32
19,65,46,0.0361111093706523,0.039672063950162664,-0.01105864025079287,42.47314302995801,0.2589641434262948,0.16921570928270124,33
31,58,52,0.04478986147773083,0.03744904346892546,0.04508277550460128,35.63085039332509,0.23107569721115537,0.14195557925627525,34
16,40,36,0.04023922654450871,0.04288791194558143,0.0054175078868865965,25.0894975066185,0.1593625498007968,0.09995815739688646,35
