rank,channel,channel_score,area_ratio,bbox,full_probability,keep_probability,removed_probability,probability_drop
1,1163,0.00144983,0.100001,"(np.int64(224), np.int64(137), np.int64(450), np.int64(328))",0.969122,0.411537,0.017209,0.951913
2,305,5.894e-05,0.051957,"(np.int64(252), np.int64(127), np.int64(395), np.int64(292))",0.969122,0.164834,0.024771,0.944351
3,489,7.966e-05,0.056487,"(np.int64(239), np.int64(176), np.int64(375), np.int64(423))",0.969122,0.645689,0.031842,0.93728
4,214,2.445e-05,0.100001,"(np.int64(170), np.int64(109), np.int64(370), np.int64(335))",0.969122,0.175077,0.034404,0.934718
5,747,0.00018856,0.090618,"(np.int64(62), np.int64(146), np.int64(375), np.int64(329))",0.969122,0.63758,0.052886,0.916236
6,650,0.00017872,0.05385,"(np.int64(175), np.int64(206), np.int64(377), np.int64(336))",0.969122,0.653172,0.055821,0.913301
7,90,3.267e-05,0.100001,"(np.int64(173), np.int64(146), np.int64(430), np.int64(459))",0.969122,0.832226,0.060534,0.908588
8,1197,5.463e-05,0.078903,"(np.int64(171), np.int64(103), np.int64(373), np.int64(366))",0.969122,0.502706,0.060564,0.908558
9,1241,0.00019279,0.100001,"(np.int64(86), np.int64(177), np.int64(409), np.int64(385))",0.969122,0.405812,0.086751,0.882371
10,914,0.00109914,0.100001,"(np.int64(153), np.int64(183), np.int64(379), np.int64(403))",0.969122,0.732696,0.10093,0.868192
11,102,0.00022356,0.065972,"(np.int64(275), np.int64(192), np.int64(443), np.int64(406))",0.969122,0.125565,0.111404,0.857718
12,657,8.887e-05,0.100001,"(np.int64(178), np.int64(84), np.int64(536), np.int64(296))",0.969122,0.8024,0.168274,0.800848
13,938,0.00010486,0.048421,"(np.int64(273), np.int64(119), np.int64(390), np.int64(368))",0.969122,0.232764,0.276915,0.692207
14,309,6.123e-05,0.100001,"(np.int64(227), np.int64(145), np.int64(391), np.int64(508))",0.969122,0.442138,0.276997,0.692125
15,1132,0.00010757,0.075675,"(np.int64(281), np.int64(129), np.int64(454), np.int64(400))",0.969122,0.179993,0.315039,0.654083
16,1199,3.317e-05,0.070837,"(np.int64(120), np.int64(149), np.int64(437), np.int64(418))",0.969122,0.453154,0.340375,0.628747
17,274,7.641e-05,0.077827,"(np.int64(212), np.int64(126), np.int64(458), np.int64(293))",0.969122,0.291011,0.367651,0.601471
18,586,1.9e-05,0.063419,"(np.int64(237), np.int64(243), np.int64(535), np.int64(364))",0.969122,0.85203,0.38333,0.585792
19,907,7.902e-05,0.096511,"(np.int64(119), np.int64(158), np.int64(372), np.int64(473))",0.969122,0.824737,0.427292,0.54183
20,1240,3.91e-05,0.100001,"(np.int64(32), np.int64(110), np.int64(346), np.int64(390))",0.969122,0.954675,0.441205,0.527917
21,1218,6.322e-05,0.031205,"(np.int64(210), np.int64(122), np.int64(292), np.int64(304))",0.969122,0.252567,0.491634,0.477488
22,668,6.815e-05,0.043813,"(np.int64(174), np.int64(221), np.int64(369), np.int64(367))",0.969122,0.571248,0.500578,0.468544
23,91,1.628e-05,0.100001,"(np.int64(0), np.int64(195), np.int64(370), np.int64(457))",0.969122,0.770627,0.506274,0.462848
24,610,7.319e-05,0.100001,"(np.int64(197), np.int64(181), np.int64(477), np.int64(374))",0.969122,0.581197,0.507247,0.461875
25,250,6.55e-06,0.076956,"(np.int64(169), np.int64(205), np.int64(335), np.int64(464))",0.969122,0.262504,0.538798,0.430324
